,quadrante,caracteristica
1067,D+_R+,Canal_2
1068,D+_R-,Canal_2
1069,D+_R+,Canal_2
1070,D-_R+,Canal_2
1071,D-_R+,Canal_2
1072,D+_R+,Canal_1
1073,D+_R+,Canal_1
1074,D-_R-,Canal_1
1075,D-_R-,Canal_2
1076,D-_R-,Canal_1
1077,D-_R-,Canal_2
1078,D-_R-,Canal_2
1079,D-_R-,Canal_2
1080,D-_R+,Canal_1
1081,D+_R+,Canal_1
1082,D-_R+,Canal_2
1083,D-_R-,Canal_2
1084,D-_R+,Canal_2
1085,D-_R+,Canal_2
1086,D-_R+,Canal_2
1087,D-_R-,Canal_2
1088,D-_R-,Canal_2
1089,D-_R+,Canal_1
1090,D+_R+,Canal_1
1091,D+_R-,Canal_1
1092,D-_R-,Canal_2
1093,D-_R-,Canal_2
1094,D+_R-,Canal_2
1095,D+_R-,Canal_2
1096,D+_R+,Canal_1
1097,D+_R+,Canal_2
1098,D+_R-,Canal_2
1099,D+_R+,Canal_2
1100,D+_R-,Canal_2
1101,D+_R-,Canal_1
1102,D+_R-,Canal_1
1103,D+_R+,Canal_1
1104,D+_R-,Canal_1
1105,D+_R+,Canal_1
1106,D+_R+,Canal_1
1107,D-_R+,Canal_1
1108,D-_R+,Canal_2
1109,D-_R+,Canal_2
1110,D+_R-,Canal_1
1111,D-_R-,Canal_2
1112,D-_R+,Canal_2
1113,D+_R+,Canal_2
1114,D+_R-,Canal_2
1115,D+_R+,Canal_2
1116,D-_R-,Canal_2
1117,D+_R+,Canal_2
1118,D-_R+,Canal_2
1119,D+_R-,Canal_2
1120,D+_R-,Canal_1
1121,D+_R+,Canal_1
1122,D+_R-,Canal_1
1123,D+_R-,Canal_1
1124,D+_R+,Canal_1
1125,D+_R-,Canal_1
1126,D-_R-,Canal_1
1127,D-_R-,Canal_1
1128,D+_R+,Canal_1
1129,D+_R-,Canal_1
1130,D+_R-,Canal_1
1131,D-_R-,Canal_1
1132,D-_R-,Canal_1
1133,D+_R+,Canal_2
1134,D+_R-,Canal_2
1135,D+_R+,Canal_2
1136,D+_R+,Canal_2
1137,D+_R+,Canal_1
1138,D+_R-,Canal_1
1139,D+_R+,Canal_1
1140,D+_R-,Canal_1
1141,D+_R+,Canal_1
1142,D+_R-,Canal_1
1143,D+_R-,Canal_1
1144,D-_R+,Canal_2
1145,D-_R+,Canal_2
1146,D+_R+,Canal_1
1147,D+_R+,Canal_1
1148,D+_R-,Canal_1
1149,D+_R-,Canal_2
1150,D+_R-,Canal_2
1151,D+_R-,Canal_1
1152,D+_R+,Canal_1
1153,D+_R+,Canal_1
1154,D+_R+,Canal_2
1155,D+_R-,Canal_2
1156,D+_R+,Canal_2
1157,D+_R+,Canal_2
1158,D+_R+,Canal_1
1159,D+_R-,Canal_1
1160,D+_R+,Canal_1
1161,D+_R+,Canal_1
1162,D-_R-,Canal_2
1163,D-_R+,Canal_2
1164,D-_R+,Canal_2
1165,D+_R-,Canal_1
1166,D-_R-,Canal_2
1167,D-_R+,Canal_1
1168,D+_R+,Canal_1
1169,D-_R+,Canal_2
1170,D+_R+,Canal_2
1171,D+_R-,Canal_1
1172,D+_R+,Canal_2
1173,D+_R-,Canal_2
1174,D+_R+,Canal_2
1175,D+_R-,Canal_2
1176,D+_R-,Canal_2
1177,D+_R-,Canal_1
1178,D+_R-,Canal_1
1179,D+_R-,Canal_2
1180,D+_R+,Canal_1
1181,D+_R-,Canal_1
1182,D+_R-,Canal_1
1183,D+_R+,Canal_1
1184,D+_R+,Canal_2
1185,D-_R-,Canal_2
1186,D+_R+,Canal_1
1187,D+_R+,Canal_1
1188,D-_R+,Canal_2
1189,D+_R-,Canal_1
1190,D-_R+,Canal_2
1191,D-_R+,Canal_2
1192,D-_R-,Canal_1
1193,D+_R+,Canal_1
1194,D-_R-,Canal_2
1195,D+_R-,Canal_1
1196,D+_R+,Canal_1
1197,D-_R+,Canal_1
1198,D-_R-,Canal_2
1199,D+_R+,Canal_2
1200,D-_R+,Canal_2
1201,D-_R-,Canal_1
1202,D-_R-,Canal_1
1203,D-_R+,Canal_2
1204,D-_R-,Canal_2
1205,D-_R+,Canal_2
1206,D+_R+,Canal_1
1207,D-_R+,Canal_1
1208,D+_R+,Canal_1
1209,D+_R-,Canal_1
1210,D+_R-,Canal_2
1211,D+_R-,Canal_2
1212,D+_R+,Canal_2
1213,D+_R+,Canal_2
1214,D+_R-,Canal_2
1215,D+_R+,Canal_2
1216,D+_R+,Canal_1
1217,D+_R-,Canal_1
1218,D+_R+,Canal_1
1219,D+_R-,Canal_1
1220,D+_R-,Canal_1
1221,D-_R-,Canal_2
1222,D-_R+,Canal_2
1223,D+_R+,Canal_1
1224,D+_R+,Canal_1
1225,D+_R+,Canal_2
1226,D-_R+,Canal_1
1227,D+_R+,Canal_1
1228,D-_R-,Canal_2
1229,D-_R+,Canal_2
1230,D-_R+,Canal_2
1231,D-_R-,Canal_2
1232,D-_R-,Canal_1
1233,D-_R-,Canal_2
1234,D-_R-,Canal_2
1235,D+_R-,Canal_1
1236,D-_R-,Canal_2
